sigma,predicted_class,mean_confidence,n_predicted
0.0,Normal,0.9424699544906616,1079
0.0,STEMI,0.8010886907577515,394
0.0,NSTEMI,0.7744153738021851,206
0.0,AFIB,0.6532690525054932,29
0.1,Normal,0.8547743558883667,986
0.1,STEMI,0.6989890336990356,336
0.1,NSTEMI,0.7109673619270325,278
0.1,AFIB,0.6372263431549072,108
0.25,Normal,0.5573598146438599,530
0.25,STEMI,0.483514666557312,68
0.25,NSTEMI,0.5464463829994202,335
0.25,AFIB,0.48582983016967773,775
0.5,Normal,0.44543299078941345,12
0.5,NSTEMI,0.5001700520515442,256
0.5,AFIB,0.49932241439819336,1440
1.0,NSTEMI,0.5335184335708618,771
1.0,AFIB,0.5359812378883362,937
2.0,NSTEMI,0.6874773502349854,1343
2.0,AFIB,0.5818504095077515,365
